subject_filename,ll_wo_constants,func_evals,iterations,alpha,beta_stage2,beta_MB,beta_MF0,beta_MF1,beta_stick
3GFK2QRXX9HOUN4EP2B9WBOQPKF5WC.csv, -131.790314, 34, 31, 0.774525, 5.000000, 0.820134, -0.962270, 5.000000, 0.782791
3YJ6NA41JBG6HDMY2I185RZZDQTJP6.csv, -239.269463, 20, 17, 0.556382, 1.944650, 0.261861, -0.093721, 0.741818, -0.144398
3M1CVSFP605GGWK98P3KCXMQTX3AQN.csv, -150.586528, 35, 31, 0.846088, 5.000000, 0.988760, -1.027223, 2.531861, 1.504920
3BV8HQ2ZZW1N6E1PTGPM6S5ZT1R6AW.csv, -184.418255, 33, 25, 0.100000, 0.367111, -0.416151, 0.161026, 0.224309, 0.120624
30LB5CDZNCATTBNI3JP4EKMHPWMZ0P.csv, -251.714405, 16, 14, 1.000000, 1.658232, -0.386365, 0.811170, 1.062862, -0.309419
35USIKEBNRGUQXVE2KURSYPZS8X6NN.csv, -117.332167, 34, 29, 0.436128, 2.899884, 0.755195, -0.906347, 2.489887, 2.271788
3IHR8NYAM71GEV3DZBE4ZPAGWBY4PW.csv, -63.943297, 35, 30, 0.462083, 4.245517, 3.681943, 1.278599, 5.000000, -0.022162
3I2PTA7R3TUMS9TVKGG96BPMYE3KQS.csv, -141.326950, 34, 25, 0.302021, 3.474776, 0.531690, -0.584295, 1.871988, -0.251540
3TE3O857308RNU458PZ5B5DXCXCR20.csv, -186.804835, 25, 22, 0.935466, 4.207526, 1.248673, -0.251878, 1.893114, 0.112987
35GCEFQ6I5OPA3MFM67NGIKORHMZ3H.csv, -172.160408, 35, 30, 0.832397, 5.000000, 5.000000, -1.035656, 4.726372, -0.188215
3ZPBJO59KP111AOI997STK2VND4HD0.csv, -176.127100, 21, 17, 0.644117, 3.215804, 0.605414, -0.450375, 2.007424, 0.462535
3JPSL1DZ5SZVDZ7HSXB383RLNOIAN5.csv, -208.621334, 17, 15, 1.000000, 2.148533, 0.076456, 0.299813, 2.169421, 0.097172
3DZQRBDBSLFS9R01REDFKPNL4DN3S3.csv, -149.335320, 35, 30, 0.695978, 2.989397, 3.759046, -0.295926, 3.570092, 0.258924
36TFCYNS44AFZGTZ0984NR5N3VLXHN.csv, -90.166300, 37, 32, 0.380894, 3.035632, -0.082428, 1.378557, 0.738836, 1.669002
3RXCAC0YIRPBKJXG8VEUMSCTX5T8GN.csv, -171.490670, 20, 18, 0.957403, 4.115898, 0.423783, -0.385884, 2.990311, 0.330590
3V0Z7YWSIY0JG1LMH94FC220Y1OV2T.csv, -188.372428, 24, 21, 0.520966, 3.370665, 0.372078, 0.486474, 0.442674, 0.507008
